//===== Nezumi Script ========================================
//= Einbroch Field Monsters
//===== By: ==================================================
//= Original:	Japanese Athena Developer Team
//= Updated:	Nezumi Developer Team
//===== Current Version: =====================================
//= 1.0.0
//===== Compatible With: =====================================
//= Nezumi 1.0.0 or newer
//============================================================

//==================================================
// einbech - Einbech, The Mining Village
//==================================================
einbech.gat,0,0,0,0	monster	Tarou	1175,5,3600000,1800000,0

//==================================================
// ein_fild01 - Einbroch Field
//==================================================
ein_fild01.gat,0,0,0,0	monster	Punk	1199,40,0,0,0
ein_fild01.gat,0,0,0,0	monster	Demon Fungus	1378,40,0,0,0

//==================================================
// ein_fild02 - Einbroch Field
//==================================================
ein_fild02.gat,0,0,0,0	monster	Driller	1380,40,0,0,0
ein_fild02.gat,0,0,0,0	monster	Demon Fungus	1378,40,0,0,0
ein_fild02.gat,0,0,0,0	monster	Ungoliant	1618,1,3600000,1800000,0

//==================================================
// ein_fild03 - Einbroch Field
//==================================================
ein_fild03.gat,0,0,0,0	monster	Metaling	1613,30,0,0,0
ein_fild03.gat,0,0,0,0	monster	Geographer	1368,5,0,0,0
ein_fild03.gat,0,0,0,0	monster	Caramel	1103,20,0,0,0
ein_fild03.gat,0,0,0,0	monster	Horn	1128,20,0,0,0
ein_fild03.gat,0,0,0,0	monster	Holden	1628,10,0,0,0
ein_fild03.gat,0,0,0,0	monster	Yellow Plant	1081,5,180000,90000,1
ein_fild03.gat,0,0,0,0	monster	Green Plant	1080,5,180000,90000,1

//==================================================
// ein_fild04 - Einbroch Field
//==================================================
ein_fild04.gat,0,0,0,0	monster	Metaling	1613,15,0,0,0
ein_fild04.gat,0,0,0,0	monster	Mineral	1614,30,0,0,0
ein_fild04.gat,0,0,0,0	monster	Geographer	1368,10,0,0,0
ein_fild04.gat,0,0,0,0	monster	Giearth	1121,20,0,0,0
ein_fild04.gat,0,0,0,0	monster	Holden	1628,10,0,0,0
ein_fild04.gat,0,0,0,0	monster	Yellow Plant	1081,5,180000,90000,1
ein_fild04.gat,0,0,0,0	monster	Red Plant	1078,5,180000,90000,1
ein_fild04.gat,0,0,0,0	monster	Green Plant	1080,5,180000,90000,1

//==================================================
// ein_fild05 - Einbroch Field
//==================================================
ein_fild05.gat,0,0,0,0	monster	Goat	1372,20,0,0,0
ein_fild05.gat,0,0,0,0	monster	Martin	1145,30,0,0
ein_fild05.gat,0,0,0,0	monster	Pupa	1008,10,0,0,0
ein_fild05.gat,0,0,0,0	monster	Giearth	1121,1,180000,90000,0
ein_fild05.gat,0,0,0,0	monster	Black Mushroom	1084,5,180000,90000,1
ein_fild05.gat,0,0,0,0	monster	Yellow Plant	1081,5,180000,90000,1
ein_fild05.gat,0,0,0,0	monster	Red Plant	1078,5,180000,90000,1

//==================================================
// ein_fild06 - Einbroch Field
//==================================================
ein_fild06.gat,0,0,0,0	monster	Martin	1145,30,0,0
ein_fild06.gat,0,0,0,0	monster	Goat	1372,20,0,0,0
ein_fild06.gat,0,0,0,0	monster	Pupa	1008,10,0,0,0
ein_fild06.gat,0,0,0,0	monster	Black Mushroom	1084,10,180000,90000,1
ein_fild06.gat,0,0,0,0	monster	Red Plant	1078,10,180000,90000,1
